Index;Title;HtmlCode
1;"A Betlehem di Giuda";"<p class=""nome-canto"">1 A Betlehem di Giuda</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-testo"">1. Di Davide sul trono sempre pace sarà,</br>Tu hai moltiplicato la letizia, Signor.</br>Oggi il popolo errante nella notte,</br>ha veduto la luce di Gesù:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-testo"">2. Ci è stato dato un Figlio, è nato un bimbo per noi,</br>gioiscono, Signore, esultanti per Te.</br>D'una gioia com'è quando si miete,</br>come quando dividono una preda.</br>Gloria a Dio, gloria nel ciel.</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-testo"">3. Tu hai spezzato il giogo che pesava su lui,</br>la verga che opprimeva come a Màdian spezzò.</br>Calzatura che strepita in battaglia,</br>veste intrisa di sangue brucerà:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-testo"">4. Sulle sue spalle il segno della sovranità,</br>mirabil consigliere, Dio potente sarà.</br>Padre eterno e principe di pace,</br>sarà grande per sempre il regno suo:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p><p class=""canto-testo"">5. Tu Betlehem di Éfrata troppo piccola sei</br>per essere di Giuda fra le grandi città.</br>Ma da te uscirà per me Colui</br>che dev'esser sovrano d'Israel:</br>Gloria a Dio, gloria nel ciel.</p><p class=""canto-ritornello"">A Betlehem di Giuda oggi è nato Gesù,</br>è nato il Salvatore, cantan gli angeli in ciel.</br>Della stirpe di Davide germoglio,</br>un bambino è stato dato a noi:</br>gloria a Dio, gloria nel ciel.</p>"
2;"A Betlemme di Giudea";"<p class=""nome-canto"">2 A Betlemme di Giudea</p><p class=""canto-testo"">1. A Betlemme di Giudea una gran luce si levò:</br>nella notte sui pastori scese l'annuncio e si cantò:</p><p class=""canto-ritornello"">Gloria in excelsis Deo! Gloria in excelsis Deo!</p><p class=""canto-testo"">2. Cristo nasce sulla paglia, Figlio del Padre, Dio con noi.</br>Verbo eterno, re di pace, pone la tenda in mezzo ai suoi.</p><p class=""canto-ritornello"">Gloria in excelsis Deo! Gloria in excelsis Deo!</p><p class=""canto-testo"">3. Salve figlio del mistero, nato a piangere e a soffrir.</br>Tu dischiudi sol è vero il mistero del gioir. </p><p class=""canto-ritornello"">Gloria in excelsis Deo! Gloria in excelsis Deo!</p><p class=""canto-testo"">4. Tornerà nella sua gloria, quando quel Giorno arriverà;</br>se lo accogli nel tuo cuore, tutto il regno ti darà.</p><p class=""canto-ritornello"">Gloria in excelsis Deo! Gloria in excelsis Deo!</p>"
3;"Abbiamo trovato il Messia";"<p class=""nome-canto"">3 Abbiamo trovato il Messia</p><p class=""canto-testo"">1. È venuto, è qui tra noi:</br>il Messia è disceso nelle strade.</p><p class=""canto-ritornello"">Non veste come un re, non ha case né granai,</br>sorride con gli amici, come tutti noi.</p><p class=""canto-testo"">2. È venuto a dare la pace,</br>a mostrare il vero volto di Dio Padre.</p><p class=""canto-ritornello"">Non veste come un re, non ha case né granai,</br>sorride con gli amici, come tutti noi.</p><p class=""canto-testo"">3. La Parola si fece carne,</br>perché tutti si chiamassero fratelli.</p><p class=""canto-ritornello"">Non veste come un re, non ha case né granai,</br>sorride con gli amici, come tutti noi.</p><p class=""canto-testo"">4. Si è seduto a mensa con noi,</br>fa prodigi ed è profeta tra la gente.</p><p class=""canto-ritornello"">Non veste come un re, non ha case né granai,</br>sorride con gli amici, come tutti noi.</p>"
4;"Abbracciami";"<p class=""nome-canto"">4 Abbracciami</p><p class=""canto-testo"">1. Gesù parola viva e vera,</br>sorgente che disseta e cura ogni ferita,</br>ferma su di me i tuoi occhi,</br>la tua mano stendi e donami la vita.</p><p class=""canto-ritornello"">Abbracciami Dio dell'eternità,</br>rifugio dell'anima, grazia che opera,</br>riscaldami fuoco che libera,</br>manda il tuo Spirito Maranathà Gesù.</p><p class=""canto-testo"">2. Gesù asciuga il nostro pianto,</br>leone vincitore della tribù di Giuda,</br>vieni nella tua potenza, questo cuore sciogli</br>con ogni sua paura.</p><p class=""canto-ritornello"">Abbracciami Dio dell'eternità,</br>rifugio dell'anima, grazia che opera,</br>riscaldami fuoco che libera,</br>manda il tuo Spirito Maranathà Gesù.</p><p class=""canto-testo"">3. Per sempre io canterò la tua immensa fedeltà,</br>il tuo spirito in me in eterno ti loderà.</br>Per sempre io canterò la tua immensa fedeltà,</br>il tuo spirito in me in eterno ti loderà.</p><p class=""canto-ritornello"">Abbracciami Dio dell'eternità,</br>rifugio dell'anima, grazia che opera,</br>riscaldami fuoco che libera,</br>manda il tuo Spirito Maranathà Gesù.</p>"
5;"Accetta questo pane";"<p class=""nome-canto"">5 Accetta questo pane</p><p class=""canto-testo"">1. Accetta questo pane, o Padre, ti preghiam,</br>perché di Cristo il corpo divenga sull'altar.</br>Che sia la nostra vita, ostia gradita a Te;</br>la vita sia del Cristo, o santa Trinità.</p><p class=""canto-testo"">2. Accetta ancora il vino, o Padre di ogni ben,</br>perché divenga il sangue del nostro redentor.</br>Che i nostri sacrifici sian puri e accetti a Te;</br>offerti dal tuo Cristo, o santa Trinità.</p><p class=""canto-testo"">3. Il dono che portiamo sia segno dell'amor,</br>che i figli tuoi tra loro per sempre unir dovrà.</br>Te lo portiamo o Padre, ma ci verrà da Te</br>quel dono che di molti, un corpo ci farà.</p>"
6;"Acclamate a Dio";"<p class=""nome-canto"">6 Acclamate a Dio</p><p class=""canto-ritornello"">Acclamate a Dio da tutta la terra,</br>cantate alla gloria del suo nome,</br>date a Lui splendida lode.</br>Stupende sono le sue opere,</br>stupende sono le sue opere.</p><p class=""canto-testo"">1. Per la grandezza della sua potenza</br>davanti a Lui si piegano i nemici.</br>A Dio si prostri la terra,</br>a Lui canti inni, canti al suo nome.</p><p class=""canto-ritornello"">Acclamate a Dio da tutta la terra,</br>cantate alla gloria del suo nome,</br>date a Lui splendida lode.</br>Stupende sono le sue opere,</br>stupende sono le sue opere.</p><p class=""canto-testo"">2. Il mare ha cambiato in terra ferma,</br>con la sua forza regnerà in eterno.</br>Dio salvi la nostra vita</br>per questo in Lui esultiamo di gioia.</p><p class=""canto-ritornello"">Acclamate a Dio da tutta la terra,</br>cantate alla gloria del suo nome,</br>date a Lui splendida lode.</br>Stupende sono le sue opere,</br>stupende sono le sue opere.</p><p class=""canto-testo"">3. Venite, voi tutti che temete Dio,</br>e narrerò quanto per me ha fatto.</br>A Lui ho rivolto il mio grido,</br>la mia lingua cantò la sua lode.</p><p class=""canto-ritornello"">Acclamate a Dio da tutta la terra,</br>cantate alla gloria del suo nome,</br>date a Lui splendida lode.</br>Stupende sono le sue opere,</br>stupende sono le sue opere.</p>"
7;"Acclamate al Signore";"<p class=""nome-canto"">7 Acclamate al Signore</p><p class=""canto-ritornello"">Acclamate al Signore, voi tutti della terra.</br>Servite il Signore nella gioia,</br>presentatevi a Lui con esultanza.</br>Acclamate, acclamate, acclamate al Signor.</p><p class=""canto-testo"">1. Riconoscete che il Signore è Dio,</br>Egli ci ha fatti e noi siamo suoi.</br>Suo popolo e gregge del suo pascolo.</p><p class=""canto-ritornello"">Acclamate al Signore, voi tutti della terra.</br>Servite il Signore nella gioia,</br>presentatevi a Lui con esultanza.</br>Acclamate, acclamate, acclamate al Signor.</p><p class=""canto-testo"">2. Varcate le sue porte con inni di grazia,</br>i suoi atri con canti di lode.</br>Lodatelo, benedite il suo nome.</p><p class=""canto-ritornello"">Acclamate al Signore, voi tutti della terra.</br>Servite il Signore nella gioia,</br>presentatevi a Lui con esultanza.</br>Acclamate, acclamate, acclamate al Signor.</p><p class=""canto-testo"">3. Poiché buono è il Signore,</br>eterna è la sua misericordia.</br>La sua fedeltà per ogni generazione.</p><p class=""canto-ritornello"">Acclamate al Signore, voi tutti della terra.</br>Servite il Signore nella gioia,</br>presentatevi a Lui con esultanza.</br>Acclamate, acclamate, acclamate al Signor.</p>"
8;"Accogli i nostri doni";"<p class=""nome-canto"">8 Accogli i nostri doni</p><p class=""canto-testo"">Accogli, Signore, i nostri doni,</br>in questo misterioso incontro</br>tra la nostra povertà e la tua grandezza.</p><p class=""canto-testo"">Noi ti offriamo le cose,</br>che Tu stesso ci hai dato</br>e Tu in cambio donaci, donaci Te stesso.</p><p class=""canto-testo"">Accogli, Signore, i nostri doni.</p>"
9;"Accogli nella tua bontà";"<p class=""nome-canto"">9 Accogli nella tua bontà</p><p class=""canto-ritornello"">Accogli nella tua bontà</br>i doni che oggi noi ti offriam</br>e fa' che al mondo noi possiam</br>essere segno di unità.</p><p class=""canto-testo"">1. Noi ti lodiam per la tua fedeltà,</br>la tua bontà è alta più del ciel.</br>Noi ti doniam la nostra povertà</br>che trasformerai in gioia e carità.</p><p class=""canto-ritornello"">Accogli nella tua bontà</br>i doni che oggi noi ti offriam</br>e fa' che al mondo noi possiam</br>essere segno di unità.</p><p class=""canto-testo"">2. In Te Signore rifugio noi troviam,</br>Tu sei per noi via, vita e verità.</br>Ravviva in noi la fiamma del tuo amor</br>con la gioia che Tu solo sai donar.</p><p class=""canto-ritornello"">Accogli nella tua bontà</br>i doni che oggi noi ti offriam</br>e fa' che al mondo noi possiam</br>essere segno di unità.</p>"
10;"Accoglimi";"<p class=""nome-canto"">10 Accoglimi</p><p class=""canto-testo"">1. Accoglimi, Signore, secondo la tua parola.</br>Accoglimi, Signore, secondo la tua parola.</p><p class=""canto-ritornello"">Ed io lo so che Tu Signore,</br>in ogni tempo sarai con me.</br>Ed io lo so, che Tu, Signore,</br>in ogni tempo sarai con me.</p><p class=""canto-testo"">2. Ti seguirò, Signore, secondo la tua parola.</br>Ti seguirò, Signore, secondo la tua parola.</p><p class=""canto-ritornello"">Ed io lo so che in Te, Signore</br>la mia speranza si compirà.</br>Ed io lo so, che in Te, Signore,</br>la mia speranza si compirà.</p><p class=""canto-testo"">Amen.</p>"
